"source_system","source_path","target_path","classification","confidence","reason","target_conflict","current_indexable","evidence_date"
"live-sitemap","/products/bavarian-trachten-wear/accessories/accessories/traditional-leather-hat","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/accessories/bags","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/accessories/bags/trachten-leather-bag","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/accessories/lederhosen","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/accessories/lederhosen/lederhosen-suspenders","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/kids","","KEEP","observed","audience-group","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/kids/blouses","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/kids/blouses/girls-dirndl-blouse","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/kids/dirndl-dresses","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/kids/dirndl-dresses/girls-modern-dirndl","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/kids/dirndl-dresses/girls-traditional-dirndl","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/kids/jackets-outerwear","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/kids/jackets-outerwear/kids-trachten-jacket","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/kids/lederhosen","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/kids/lederhosen/boys-knee-length-lederhosen","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/kids/lederhosen/boys-short-lederhosen","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/kids/trachten-shirts","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/kids/trachten-shirts/boys-trachten-shirt","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/kids/vests-waistcoats","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/kids/vests-waistcoats/boys-trachten-vest","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/men","","KEEP","observed","audience-group","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/men/jackets-outerwear","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/men/jackets-outerwear/loden-jacket","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/men/jackets-outerwear/traditional-janker-jacket","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/men/lederhosen","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/men/lederhosen/deer-suede-lederhosen","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/men/lederhosen/goat-suede-lederhosen","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/men/lederhosen/knee-length-lederhosen","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/men/lederhosen/long-lederhosen","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/men/lederhosen/premium-embroidered-lederhosen","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/men/lederhosen/short-lederhosen","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/men/lederhosen/vintage-lederhosen","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/men/pants-joggers","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/men/pants-joggers/trachten-trousers","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/men/trachten-shirts","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/men/trachten-shirts/checked-trachten-shirt","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/men/trachten-shirts/embroidered-trachten-shirt","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/men/trachten-shirts/linen-trachten-shirt","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/men/trachten-shirts/traditional-trachten-shirt","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/men/trachten-shirts/velvet-trachten-shirt","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/men/vests-waistcoats","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/men/vests-waistcoats/wool-trachten-vest","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/women","","KEEP","observed","audience-group","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/women/aprons","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/women/aprons/embroidered-dirndl-apron","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/women/blouses","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/women/blouses/classic-dirndl-blouse","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/women/blouses/high-neck-dirndl-blouse","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/women/blouses/lace-dirndl-blouse","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/women/blouses/off-shoulder-dirndl-blouse","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/women/blouses/puff-sleeve-dirndl-blouse","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/women/dirndl-dresses","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/women/dirndl-dresses/cotton-dirndl","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/women/dirndl-dresses/linen-dirndl","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/women/dirndl-dresses/long-dirndl","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/women/dirndl-dresses/midi-dirndl","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/women/dirndl-dresses/mini-dirndl","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/women/dirndl-dresses/modern-dirndl","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/women/dirndl-dresses/oktoberfest-dirndl","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/women/dirndl-dresses/premium-embroidered-dirndl","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/women/dirndl-dresses/traditional-dirndl","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/women/dirndl-dresses/velvet-dirndl","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear","","KEEP","observed","main-division","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/hospitality","","KEEP","observed","audience-group","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/hospitality/accessories","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/hospitality/accessories/hospitality-slipper-set","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/hospitality/matching-sets","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/hospitality/matching-sets/luxury-guest-sleepwear-set","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/hospitality/matching-sets/resort-lounge-set","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/hospitality/pajama-sleep-sets","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/hospitality/pajama-sleep-sets/hotel-pajama-set","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/hospitality/robes","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/hospitality/robes/hotel-bathrobe","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/hospitality/robes/spa-robe","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/hospitality/robes/waffle-robe","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/kids","","KEEP","observed","audience-group","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/kids/custom-apparel","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/kids/custom-apparel/kids-onesie","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/kids/hoodies","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/kids/hoodies/kids-hoodie","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/kids/matching-sets","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/kids/matching-sets/kids-casual-tracksuit","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/kids/matching-sets/kids-lounge-set","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/kids/pajama-sleep-sets","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/kids/pajama-sleep-sets/boys-pajama-set","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/kids/pajama-sleep-sets/girls-pajama-set","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/kids/pajama-sleep-sets/kids-flannel-pajama-set","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/kids/pajama-sleep-sets/kids-fleece-sleep-set","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/kids/pajama-sleep-sets/kids-printed-pajama-set","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/kids/pajama-sleep-sets/kids-thermal-sleep-set","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/kids/pants-joggers","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/kids/pants-joggers/kids-jogger","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/kids/robes","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/kids/robes/kids-sleep-robe","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/kids/shirts-tops","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/kids/shirts-tops/kids-polo-shirt","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/kids/shirts-tops/kids-sweatshirt","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/kids/t-shirts","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/kids/t-shirts/kids-basic-t-shirt","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/men","","KEEP","observed","audience-group","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/men/matching-sets","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/men/matching-sets/mens-lounge-set","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/men/pajama-sleep-sets","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/men/pajama-sleep-sets/mens-cotton-pajama-set","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/men/pajama-sleep-sets/mens-flannel-pajama-set","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/men/pajama-sleep-sets/mens-night-suit","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/men/pajama-sleep-sets/mens-satin-pajama-set","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/men/pajama-sleep-sets/mens-silk-pajama-set","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/men/pajama-sleep-sets/mens-thermal-sleep-set","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/men/pants-joggers","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/men/pants-joggers/casual-chino-pants","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/men/pants-joggers/casual-jogger","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/men/pants-joggers/mens-sleep-pants","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/men/robes","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/men/robes/mens-sleep-robe","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/men/shirts-tops","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/men/shirts-tops/casual-button-up-shirt","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/men/shirts-tops/henley-long-sleeve-shirt","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/men/shirts-tops/henley-short-sleeve-shirt","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/men/shirts-tops/mens-premium-polo-shirt","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/men/shorts","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/men/shorts/cotton-chino-shorts","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/men/shorts/lounge-shorts","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/men/t-shirts","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/men/t-shirts/essential-crewneck-t-shirt","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/men/t-shirts/essential-v-neck-t-shirt","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/men/t-shirts/mens-sleep-t-shirt","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/unisex","","KEEP","observed","audience-group","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/unisex/hoodies","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/unisex/hoodies/unisex-lightweight-hoodie","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/unisex/jackets-outerwear","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/unisex/jackets-outerwear/unisex-fleece-jacket","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/unisex/matching-sets","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/unisex/matching-sets/unisex-casual-tracksuit","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/unisex/matching-sets/unisex-lounge-set","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/unisex/shirts-tops","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/unisex/shirts-tops/unisex-pullover-sweatshirt","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/unisex/shirts-tops/unisex-zip-sweatshirt","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/unisex/t-shirts","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/unisex/t-shirts/unisex-crewneck-t-shirt","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/unisex/t-shirts/unisex-oversized-t-shirt","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/women","","KEEP","observed","audience-group","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/women/blouses","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/women/blouses/womens-casual-blouse","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/women/custom-apparel","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/women/custom-apparel/womens-lightwear-cardigan","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/women/custom-apparel/womens-long-sleeve-top","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/women/jackets-outerwear","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/women/jackets-outerwear/womens-casual-zip-jacket","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/women/matching-sets","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/women/matching-sets/womens-camisole-short-set","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/women/matching-sets/womens-long-lounge-set","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/women/matching-sets/womens-relaxed-set","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/leisure-nightwear/women/nightgowns-sleep-shirts","","KEEP","observed","product-type","no","yes","2026-08-08"
